0 -0.808843 0.00310047
1 -0.810817 0.00305698
2 -0.80972 0.00319941
3 -0.805289 0.00386526
4 -0.805727 0.0035543
5 -0.805219 0.0029849
6 -0.803832 0.00317413
7 -0.804327 0.00376746
8 -0.803065 0.00314559
9 -0.799948 0.00302136
10 -0.804033 0.00245302
11 -0.803063 0.00282214
12 -0.805169 0.00359897
13 -0.804904 0.00385822
14 -0.807258 0.00344773
15 -0.806847 0.00260949
16 -0.81009 0.0023071
17 -0.810054 0.00273114
18 -0.807356 0.00329467
19 -0.808817 0.00366413
20 -0.804677 0.00342296
21 -0.803673 0.00362477
22 -0.805841 0.00336887
23 -0.807351 0.00364414
24 -0.808721 0.00363084
25 -0.809314 0.00417456
26 -0.806987 0.00432491
27 -0.811522 0.00379818
28 -0.809016 0.00378555
29 -0.8087 0.00398266
